Time_min,Time_hr,Systemic_FdUMP_uM,Systemic_FdUTP_uM,Systemic_FUTP_uM,Tumor_FdUMP_uM,Tumor_FdUTP_uM,Tumor_FUTP_uM
0,0,0,0,0,0,0,0
0.2,0.00333333333333333,0,0,0,0,0,0
0.4,0.00666666666666667,0,0,0,0,0,0
0.6,0.01,0,0,0,0,0,0
0.8,0.0133333333333333,0,0,0,0,0,0
1,0.0166666666666667,0,0,0,0,0,0
1.2,0.02,0,0,0,0,0,0
1.4,0.0233333333333333,0,0,0,0,0,0
1.6,0.0266666666666667,0,0,0,0,0,0
1.8,0.03,0,0,0,0,0,0
2,0.0333333333333333,0,0,0,0,0,0
2.2,0.0366666666666667,0,0,0,0,0,0
2.4,0.04,0,0,0,0,0,0
2.6,0.0433333333333333,0,0,0,0,0,0
2.8,0.0466666666666667,0,0,0,0,0,0
3,0.05,0,0,0,0,0,0
3.2,0.0533333333333333,0,0,0,0,0,0
3.4,0.0566666666666667,0,0,0,0,0,0
3.6,0.06,0,0,0,0,0,0
3.8,0.0633333333333333,0,0,0,0,0,0
4,0.0666666666666667,0,0,0,0,0,0
4.2,0.07,0,0,0,0,0,0
4.4,0.0733333333333333,0,0,0,0,0,0
4.6,0.0766666666666667,0,0,0,0,0,0
4.8,0.08,0,0,0,0,0,0
5,0.0833333333333333,0,0,0,0,0,0
5.2,0.0866666666666667,0,0,0,0,0,0
5.4,0.09,0,0,0,0,0,0
5.6,0.0933333333333333,0,0,0,0,0,0
5.8,0.0966666666666667,0,0,0,0,0,0
6,0.1,0,0,0,0,0,0
6.2,0.103333333333333,0,0,0,0,0,0
6.4,0.106666666666667,0,0,0,0,0,0
6.6,0.11,0,0,0,0,0,0
6.8,0.113333333333333,0,0,0,0,0,0
7,0.116666666666667,0,0,0,0,0,0
7.2,0.12,0,0,0,0,0,0
7.4,0.123333333333333,0,0,0,0,0,0
7.6,0.126666666666667,0,0,0,0,0,0
7.8,0.13,0,0,0,0,0,0
8,0.133333333333333,0,0,0,0,0,0
8.2,0.136666666666667,0,0,0,0,0,0
8.4,0.14,0,0,0,0,0,0
8.6,0.143333333333333,0,0,0,0,0,0
8.8,0.146666666666667,0,0,0,0,0,0
9,0.15,0,0,0,0,0,0
9.2,0.153333333333333,0,0,0,0,0,0
9.4,0.156666666666667,0,0,0,0,0,0
9.6,0.16,0,0,0,0,0,0
9.8,0.163333333333333,0,0,0,0,0,0
10,0.166666666666667,0,0,0,0,0,0
10.2,0.17,0,0,0,0,0,0
10.4,0.173333333333333,0,0,0,0,0,0
10.6,0.176666666666667,0,0,0,0,0,0
10.8,0.18,0,0,0,0,0,0
11,0.183333333333333,0,0,0,0,0,0
11.2,0.186666666666667,0,0,0,0,0,0
11.4,0.19,0,0,0,0,0,0
11.6,0.193333333333333,0,0,0,0,0,0
11.8,0.196666666666667,0,0,0,0,0,0
12,0.2,0,0,0,0,0,0
12.2,0.203333333333333,0,0,0,0,0,0
12.4,0.206666666666667,0,0,0,0,0,0
12.6,0.21,0,0,0,0,0,0
12.8,0.213333333333333,0,0,0,0,0,0
13,0.216666666666667,0,0,0,0,0,0
13.2,0.22,0,0,0,0,0,0
13.4,0.223333333333333,0,0,0,0,0,0
13.6,0.226666666666667,0,0,0,0,0,0
13.8,0.23,0,0,0,0,0,0
14,0.233333333333333,0,0,0,0,0,0
14.2,0.236666666666667,0,0,0,0,0,0
14.4,0.24,0,0,0,0,0,0
14.6,0.243333333333333,0,0,0,0,0,0
14.8,0.246666666666667,0,0,0,0,0,0
15,0.25,0,0,0,0,0,0
15.2,0.253333333333333,0,0,0,0,0,0
15.4,0.256666666666667,0,0,0,0,0,0
